,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SRL,36.3950723795963,-3.14075716084041,0.359037338428999,-8.74771736717712,2.17711722864635e-18,1.26512168171444e-16
SRPX,901.805532134997,-2.45539532010778,0.425393983644711,-5.77204994548896,7.83128942533535e-09,8.05182782137999e-08
SSC5D,780.026428717989,-2.18706509419805,0.40668472665762,-5.37779009350232,7.54056554187012e-08,6.34757200980026e-07
SSTR1,47.2651327980028,-2.38423188150676,0.553476473665497,-4.30773844047383,1.64932257141018e-05,8.31894170419522e-05
SSTR5-AS1,40.4163935482833,2.06716415690033,0.89955253100929,2.2979915965341,0.0215622674166399,0.0449510905441936
SSX1,16.3963773447277,6.19822703246128,1.3488311012319,4.59525809183994,4.32213959607495e-06,2.49767088183566e-05
ST8SIA2,28.4800140483601,2.34846202221179,0.598220264523897,3.92574802540474,8.64606278492489e-05,0.000362533626180134
ST8SIA6-AS1,61.4241351239082,4.42069529895673,0.93780016962171,4.7138990183164,2.43021133423903e-06,1.47918374547404e-05
STAB2,19.0711414621729,-2.80946928098693,0.38466441611001,-7.30368904251193,2.79983032330605e-13,6.49431907176046e-12
STAC,105.171047997598,-2.05338876788366,0.457722702352155,-4.48609771228663,7.2539484255941e-06,3.99164965670148e-05
STARD13,656.677551121189,-2.01615400922142,0.262539881579994,-7.67941996883667,1.59810516977941e-14,4.53641158040451e-13
STARD9,325.712591513205,-2.36846925591028,0.264346544812588,-8.95971330962331,3.25523655058544e-19,2.23023891820665e-17
STIL,783.120378225106,2.17434238716616,0.207041333706796,10.5019724720542,8.45937302633277e-26,2.10990070155657e-23
STK31,125.151151720816,2.15561731398156,0.334554745223278,6.44324238337411,1.16947698900918e-10,1.71466645984318e-09
STK32B,78.1363348683223,-2.03141871285909,0.366836673362357,-5.5376652891312,3.06530358241519e-08,2.78069509286687e-07
STOML3,7.6477341362046,2.3926477075581,0.66450148101541,3.60066572598445,0.000317403437848187,0.00114601846346032
STON1,560.103843293154,-2.60394521900786,0.293535253292697,-8.87097951540203,7.25052920424325e-19,4.69233957072279e-17
STON1-GTF2A1L,8.21368716016341,-3.55318777365756,0.485861358195876,-7.31317219144867,2.60908319215409e-13,6.07090447583193e-12
STPG3,13.1933341248186,2.10463280076568,0.426982952067284,4.92907923039051,8.26180667367549e-07,5.58962464316515e-06
STPG3-AS1,17.1773120676408,2.00846800478197,0.42109398238889,4.76964309342019,1.84552608511889e-06,1.15497569882912e-05
STRA8,6.2414602646029,3.68279450406709,1.00147027777318,3.67738772263514,0.000235634738281263,0.000882060694834313
STRIP2,294.348642134566,2.23529638871468,0.313286007675554,7.13500231082646,9.6785533793642e-13,2.05592849679547e-11
STRIT1,1.16179598626966,2.01805933831964,0.810055007900256,2.49126209780574,0.0127290180912295,0.0284857287900295
STUM,187.125042635318,-3.90411229887753,0.561652946652979,-6.95111157547209,3.62419079383299e-12,6.94730459771197e-11
STXBP6,252.86786356052,-2.08468716156744,0.492873180263991,-4.22966240616065,2.34042266402925e-05,0.00011316206119826
SULT1E1,567.891489064178,3.70940882533862,0.707672741512166,5.24170087067688,1.59103148046482e-07,1.254625818947e-06
SULT4A1,71.1633582003275,2.97036201734373,0.751114733883213,3.95460491366899,7.66612270306854e-05,0.000324942890515019
SVEP1,612.152155083171,-3.12834719732908,0.31520151174421,-9.92491178109504,3.24389457817592e-23,5.18042962923375e-21
SVIL,6239.05594070926,-2.9778607559496,0.255136266966381,-11.6716482190358,1.77941950505911e-31,1.09720983814728e-28
SYCP2,304.759564119467,2.25846965221338,0.387317348003036,5.83105730703207,5.50772635454891e-09,5.82747900945075e-08
SYNC,106.80480309707,-2.56611855233337,0.365532139985624,-7.0202268737143,2.2150826797014e-12,4.40200584816578e-11
SYNE1,1460.03130257422,-2.50406718257519,0.270561181893392,-9.25508665009401,2.14056716184064e-20,1.84888365208321e-18
SYNGR4,9.02617177840467,2.48750860677764,0.425935764565295,5.84010269557044,5.21686541998605e-09,5.54882504038574e-08
SYNM,7138.79364196629,-5.44934949144239,0.505493639410203,-10.7802533337522,4.26708957100422e-27,1.31556742079377e-24
SYNPO2,7901.09738900306,-5.15235933556267,0.490561530270137,-10.5029828423876,8.36929068330758e-26,2.10990070155657e-23
SYNPR,5.30342209253597,2.99684697517485,1.0648284777665,2.81439409045559,0.00488692777179969,0.0124289668513302
SYPL2,67.8072901646818,-2.65469896548029,0.398847943156959,-6.65591740167402,2.81538341236468e-11,4.68836316486655e-10
SYT12,461.150872725112,2.29017734974382,0.48912134490846,4.68222737278503,2.83774462951838e-06,1.70157361658695e-05
SYT13,43.0305226118981,3.2753712621066,0.811185167152119,4.03776029781913,5.39639516862775e-05,0.000238671408553893
TAC3,938.586886427763,3.88482936508743,0.801532812329643,4.84675025816627,1.25500248871754e-06,8.12913488314913e-06
TACR1,63.879721947326,-2.45757597207593,0.431141933379149,-5.70015528949888,1.19698340243211e-08,1.17829878346731e-07
TACR2,217.925170439217,-4.41133460872065,0.441742135056275,-9.98622105214998,1.75131377822144e-23,3.0136173061209e-21
TACR3,23.1805490035371,-4.46967229939353,0.679719041654124,-6.57576443425272,4.84038358862533e-11,7.67477392145036e-10
TAFA3,14.8830966453651,3.09741219478038,0.513538631628364,6.03150766858356,1.62437015316002e-09,1.91694676554205e-08
TAGLN,24001.0114145249,-3.32594314412638,0.416778211885812,-7.98012719781431,1.46182568886701e-15,4.80023766885649e-14
TAGLN3,23.9280780021315,2.11609218785778,0.606899774845253,3.48672429215736,0.000488975168807269,0.00167814947389978
TARID,19.3177524789715,-3.89434825933429,0.437493335023209,-8.90150305747561,5.5095443623552e-19,3.61836880933612e-17
